OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
159,17,Randolph,1,RANDOLPH,12/10/2025 12:00:00 AM,63020,3030,005,2,Randolph,467,491,RAN,1431567,48bbed0c-0d14-4eac-b41c-608e410381cd,6028944.11328125,17490.7966417008
160,06,Bountiful,0,BOUNTIFUL,,07690,3010,004,3,Bountiful,45762,44481,BTF,1439039,a985af9b-5a14-41fc-a7ff-f6151c36f911,59929887.1875,52005.696751919
161,07,Duchesne,1,DUCHESNE,4/26/2019 12:00:00 AM,20340,3020,008,2,Duchesne,1588,1623,DUC,1427601,ab11bbcd-6987-46fc-b4f3-5a46bdb97a11,12420749.5273438,29211.906697359
162,25,Bluffdale,0,BLUFFDALE (UTAH CO),12/15/2011 12:00:00 AM,06810,3020,019,4,,17014,19080,BDL,1425844,ea893c14-5ad5-4bbb-94d8-4012f992d13e,3033724.56185532,8752.87062295667
163,22,Oakley,0,OAKLEY,3/4/2026 12:00:00 AM,55650,3050,029,4, ,1588,1599,OKL,1444043,dd9e29ba-1dcb-4c0f-b950-61cf5b128558,32006217.7890625,34790.6828882496
164,26,Daniel,0,DANIEL ,9/15/2025 12:00:00 AM,34200,3015,005,2,,916,887,DAN,1455872,26a973eb-31d3-4bec-8a39-9f4ae96a0fc1,14809298.2070313,34953.0272580805
165,02,Willard,0,WILLARD CITY,5/28/2024 12:00:00 AM,84710,3160,120,1, ,1978,2224,WIL,1447372,def9379d-4d57-47f4-98ca-3c3a995d2b96,34474059.8320313,40925.1976943852
166,03,Trenton,0,TRENTON,5/8/2020 12:00:00 AM,77230,3180,081,4, ,512,521,TRN,1433666,c411dc7b-cfa4-432b-94e0-c4f0459b80c6,38786083.0195313,35353.9703819795
167,18,West Valley City,0,WEST VALLEY CITY,2/2/2012 12:00:00 AM,83470,3120,167,3,West Valley,140230,136650,WVC,1437843,470d5d70-40d5-443a-a533-0d9b07ab440a,161526538.320313,75182.4947053455
168,24,Vernal,1,VERNAL,12/12/2025 12:00:00 AM,80090,3030,024,4,Vernal,10079,10432,VER,1433885,9d18fd67-70a9-4c19-a6cd-32737ebe6a4c,21379693.3815918,50607.43837005
169,02,Corinne,0,CORINNE CITY,5/25/2012 12:00:00 AM,15830,3030,025,4, ,809,853,COR,1439951,708c26a4-feb0-46ea-b887-9b2205f3485d,17860940.1210938,26640.8515684559
170,27,La Verkin,0,LA VERKIN CITY,7/20/2005 12:00:00 AM,43440,3050,011,3, ,4354,4531,LAV,1429398,15015724-34ae-40c0-85bc-97bd4dc68202,55850443.40625,42817.9529967907
171,14,Oak City,0,OAK CITY,4/7/2026 12:00:00 AM,55430,3090,037,4, ,595,630,OKC,1444013,24199c69-5052-44bd-b22c-e7ebb22fe295,5078929.3598938,14322.6737129313
172,25,Santaquin,0,SANTAQUIN CITY (UTAH CO),5/18/2026 12:00:00 AM,67770,3170,097,3, ,13725,16898,SAQ,1445329,1d35de99-c601-4716-9988-95eacba92201,45858645.3353648,69647.7045171699
173,10,Moab,1,MOAB CITY,3/23/2026 12:00:00 AM,50700,3020,011,3,Moab,5366,5321,MOA,1430389,08424255-36ad-454e-b5cb-8966fde0f54d,20448941.639576,60220.2090001461
174,25,Eagle Mountain,0,EAGLE MOUNTAIN,6/23/2022 12:00:00 AM,20810,3047,030,2, ,43623,54149,EAG,1759211,60d8a3ec-c750-4476-8638-04543383e4f7,228031790.789063,104693.194772806
175,25,Fairfield,0,FAIRFIELD,,24410,3055,035,3, ,160,156,FFD,1427871,982b57b5-f2ce-4871-8d45-4e66c5ede64b,116292665.027344,55543.8839288775
176,03,River Heights,0,RIVER HEIGHTS,7/21/2017 12:00:00 AM,64120,3160,060,1, ,2144,2147,RVH,1444991,fc7ad315-f7fa-4ec5-aacc-b6bf54b57f04,3077781.60707474,15394.5622447772
177,02,Fielding,0,FIELDING,11/17/2017 12:00:00 AM,25290,3060,041,1, ,546,591,FIE,1441035,15f553a3-7f94-481a-912a-7df6905928ea,2598056.97265625,11837.1487621056
178,15,Morgan,1,MORGAN,12/16/2013 12:00:00 AM,51910,3010,007,3,Morgan,4071,4455,MRG,1430488,a0542208-df81-4df0-b0c4-e1043f14ba17,13889756.7421875,22702.5850245829
179,20,Spring City,0,SPRING CITY,4/18/2024 12:00:00 AM,71730,3110,031,4, ,949,,SPC,1445992,c1731812-8ce8-4d99-b09b-90293b4b3efd,6412196.98828125,12223.9778451601
180,21,Salina,0,SALINA,2/15/2023 12:00:00 AM,65880,3100,035,4,Salina,2441,2565,SLN,1445269,07ade4d3-0eba-41fd-a1df-aa8a75436e56,25203447.1328125,39791.3900433644
181,18,South Jordan,0,SOUTH JORDAN,5/19/2023 12:00:00 AM,70850,3090,138,3,South Jordan,77487,83513,SJC,1432728,981edf96-532e-4c62-b1eb-b22fd8bb5a52,116033501.549896,69303.494988056
182,28,Hanksville,0,HANKSVILLE TOWN,,33100,3015,005,2,Hanksville,158,171,HAN,1428508,d577aef7-c81f-43a3-be67-2485f490a757,7249783.95703125,14221.693557106
183,03,Hyrum,0,HYRUM,12/18/2020 12:00:00 AM,37500,3050,033,3, ,9362,10594,HYR,1441968,e2bceed7-73f3-47b1-ab22-20100d3cbfa3,28900838.5820313,52637.8283531306
184,14,Leamington,0,LEAMINGTON TOWN,,43880,3060,028,3, ,256,269,LEA,1429508,10334a6e-5cac-4ac7-84f7-f9670a34ea56,6827752.83203125,11052.48082442
185,25,Spanish Fork,0,SPANISH FORK,11/4/2025 12:00:00 AM,71290,3180,103,1,Spanish Fork,42602,44102,SFK,1445945,01dfdfe9-0a45-4825-9d3a-25cb33b60e13,82849900.3037109,91029.2671458078
186,03,Amalga,0,AMALGA,8/31/2012 12:00:00 AM,01090,3010,001,1, ,482,500,AMG,1437485,1035a5c8-2f7d-4a71-9bd6-08d24ca2fcbf,16579396.2539063,32788.5831210268
187,02,Snowville,0,SNOWVILLE TOWN,5/25/2012 12:00:00 AM,69970,3140,100,4,Snowville,163,161,SNO,1432604,0de8d7f9-385e-4d53-bfd5-5ee3496d0507,7190607.9921875,10959.8550294211
188,09,Tropic,0,TROPIC,12/15/2010 12:00:00 AM,77560,3080,015,4, ,486,505,TRO,1446722,234c9d8d-e0a5-4c81-919c-44fdcca92697,32791204.734375,30541.3385042566
